"id","custom_date","master_development","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","total_sales_price_val","sales_price_sqft_unit","sales_price_sqm_unit","unit_size_sqft","unit_size_sqm","unit_type","no_beds","custom_view","maid","study","balcony","plot_size_sqft","plot_size_sqm","developer_type","floor_level","evdnc_name","comments","dev_name","unit_no","sale_sequence"
"12466906","2026-01-23","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","4850000","4035","43447","1202","111.63","Apartment","2","","NULL","NULL","NULL","0","0","NULL","5","Active Listings","Full Sea View | Great Layout | Prime Location","Meraas","",""
"12452010","2026-01-20","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","3200000","4000","43045","800","74.34","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Marina View | Exclusive | Brand New | Vacant","Meraas","",""
"12451311","2026-01-20","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","5700000","4485","48289","1271","118.04","Apartment","2","","NULL","NULL","Y","0","0","NULL","2","Active Listings","Burj Khalifa and Sea View | Handover Soon","Meraas","",""
"12437268","2026-01-17","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","8995000","4245","45690","2119","196.87","Apartment","3","","NULL","NULL","Y","0","0","NULL","2","Active Listings","Handover Imminent | Full Sea View | 3 BR","Meraas","",""
"12438544","2026-01-16","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","15900000","5841","62873","2722","252.89","Apartment","4","","NULL","NULL","Y","0","0","NULL","8","Active Listings","HIGHEST PENTHOUSE IN PORT DE LA MER","Meraas","",""
"12415963","2026-01-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2250000","2363","25418","952","88.52","Apartment","1","","","","Y","0","0","","1","Title Deed","","Meraas","","Resale"
"12415997","2026-01-14","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","2500000","3177","34190","787","73.12","Apartment","1","","","","Y","0","0","","2","Title Deed","","Meraas","","Resale"
"12400359","2026-01-10","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","8650000","4278","46052","2022","187.83","Apartment","3","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Sea and Marina View | Motivated Seller |Mid Floor","Meraas","",""
"12392017","2026-01-08","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","10000000","4666","50236","2143","199.06","Apartment","3","","NULL","NULL","Y","0","0","NULL","6","Active Listings","AMAZING VIEW | 3 BEDROOMS IN PORT DE LA MER","Meraas","",""
"12373219","2026-01-08","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","4870000","3835","41257","1270","118.04","Apartment","2","","","","Y","0","0","","3","Oqood","","Meraas","","Resale"
"12381226","2026-01-06","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","3100000","3934","42367","788","73.17","Apartment","1","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Exclusive | Burj Skyline | Sea View","Meraas","",""
"12355345","2026-01-02","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","5050000","3964","42674","1274","118.34","Apartment","2","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Spacious | Great Layout | Prime Location","Meraas","",""
"10425994","2025-12-29","La Mer","Port de La Mer","Le Soleil (Le Ciel)","","","11000000","5525","59459","1991","185","Apartment","2","","NULL","NULL","","0","0","NULL","","Active Listings","High Floor Apt with Sea and Skyline View","Meraas","",""
"12070876","2025-12-29","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 2","","4500000","3753","40399","1199","111.39","Apartment","2","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Skyline Sea View | Handover Soon | Genuine Resale","Meraas","",""
"12320717","2025-12-26","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","4950000","4118","44295","1202","111.75","Apartment","2","","NULL","NULL","Y","0","0","NULL","4","Active Listings","Spacious | Great Layout | Panoramic View","Meraas","",""
"12320729","2025-12-26","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","9300000","4005","43107","2322","215.74","Apartment","3","","NULL","NULL","Y","0","0","NULL","1","Active Listings","Exclusive | Best Deal | Great Layout","Meraas","",""
"12317816","2025-12-24","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","908993","714","7681","1273","118.34","Apartment","2","","","","Y","0","0","","5","Oqood","","Meraas","","Resale"
"12306643","2025-12-23","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","9500000","4479","48214","2121","197.04","Apartment","3","","NULL","NULL","Y","0","0","NULL","2","Active Listings","Sea View | Biggest Layout | Handover Soon","Meraas","",""
"11652719","2025-12-20","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 3","","2568000","3263","35135","787","73.09","Apartment","1","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Exclusive | Pool and Sea View | Handover Soon","Meraas","",""
"12240285","2025-12-19","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","11000000","5525","59463","1991","184.99","Apartment","2","","NULL","NULL","Y","0","0","NULL","3","Active Listings","Motivated Seller | Genuine Resale | Luxurious","Meraas","",""
"12158675","2025-12-18","La Mer","Port de La Mer","Le Soleil (Le Ciel)","Le Soleil 1","","11500000","5776","62166","1991","184.99","Apartment","2","","NULL","NULL","Y","0","0","NULL","4","Active Listings","The Finest Views In The Heart Of Jumeirah","Meraas","",""
